|AHWE|	Rank:1	|Wins:13|Loses:6
|ANDY|	Rank:4	|Wins:22|Loses:15
|ASTRO|	Rank:5	|Wins:3|Loses:1
|CASPER|	Rank:54	|Wins:0|Loses:1
|CBATS|	Rank:49	|Wins:0|Loses:1
|DARYL|	Rank:45	|Wins:2|Loses:1
|DOBBY|	Rank:52	|Wins:3|Loses:9
|ECTH|	Rank:49	|Wins:51|Loses:41
|ENUMA|	Rank:7	|Wins:5|Loses:5
|FALCON|	Rank:11	|Wins:1|Loses:1
|FREEDOOM|	Rank:43	|Wins:1|Loses:2
|GANNICUS|	Rank:3	|Wins:9|Loses:4
|GLUTE|	Rank:56	|Wins:3|Loses:1
|GOSPURE|	Rank:54	|Wins:3|Loses:5
|GRENDAL|	Rank:10	|Wins:3|Loses:5
|HALET|	Rank:27	|Wins:4|Loses:1
|HITMACHINE|	Rank:56	|Wins:0|Loses:4
|IMPERIALIST|	Rank:25	|Wins:3|Loses:0
|JASKIER|	Rank:12	|Wins:0|Loses:0
|JEDGAR|	Rank:53	|Wins:0|Loses:4
|JONES|	Rank:52	|Wins:0|Loses:4
|KURDISH|	Rank:9	|Wins:1|Loses:1
|LAU|	Rank:55	|Wins:3|Loses:3
|LOLO|	Rank:8	|Wins:8|Loses:13
|LUXUS|	Rank:52	|Wins:12|Loses:4
|MAKA|	Rank:42	|Wins:4|Loses:6
|MEWTWO|	Rank:52	|Wins:0|Loses:1
|MISHA|	Rank:52	|Wins:30|Loses:17
|MUSTAFA|	Rank:30	|Wins:1|Loses:9
|NATHAN|	Rank:56	|Wins:3|Loses:3
|NINKA|	Rank:55	|Wins:0|Loses:1
|OTTO|	Rank:6	|Wins:37|Loses:62
|PIKACHU|	Rank:14	|Wins:4|Loses:0
|RAINY|	Rank:18	|Wins:0|Loses:1
|RAKI|	Rank:15	|Wins:1|Loses:4
|SAURON|	Rank:54	|Wins:15|Loses:4
|SCARECROW|	Rank:44	|Wins:2|Loses:2
|SHINODA|	Rank:51	|Wins:0|Loses:2
|TEMPT|	Rank:56	|Wins:4|Loses:0
|THORIN|	Rank:55	|Wins:0|Loses:0
|URBY|	Rank:50	|Wins:0|Loses:2
|VITO|	Rank:48	|Wins:0|Loses:1
|YODA|	Rank:24	|Wins:0|Loses:1
|YUSUF|	Rank:2	|Wins:8|Loses:8
|ZORBA|	Rank:56	|Wins:3|Loses:6
