|YUSUF|	Rank:1	|Wins:8|Loses:7
|AHWE|	Rank:2	|Wins:12|Loses:6
|GANNICUS|	Rank:3	|Wins:8|Loses:4
|ECTH|	Rank:4	|Wins:51|Loses:41
|ANDY|	Rank:5	|Wins:22|Loses:15
|OTTO|	Rank:6	|Wins:37|Loses:58
|ENUMA|	Rank:7	|Wins:5|Loses:5
|LOLO|	Rank:8	|Wins:8|Loses:13
|KURDISH|	Rank:9	|Wins:1|Loses:1
|JASKIER|	Rank:10	|Wins:0|Loses:0
|PIKACHU|	Rank:11	|Wins:4|Loses:0
|GRENDAL|	Rank:12	|Wins:2|Loses:4
|RAKI|	Rank:13	|Wins:1|Loses:4
|RAINY|	Rank:16	|Wins:0|Loses:1
|YODA|	Rank:22	|Wins:0|Loses:1
|IMPERIALIST|	Rank:23	|Wins:3|Loses:0
|HALET|	Rank:25	|Wins:4|Loses:1
|MUSTAFA|	Rank:28	|Wins:1|Loses:9
|MAKA|	Rank:40	|Wins:4|Loses:6
|FREEDOOM|	Rank:41	|Wins:1|Loses:2
|SCARECROW|	Rank:42	|Wins:2|Loses:2
|DARYL|	Rank:43	|Wins:2|Loses:1
|VITO|	Rank:46	|Wins:0|Loses:1
|ASTRO|	Rank:47	|Wins:0|Loses:1
|CBATS|	Rank:48	|Wins:0|Loses:1
|URBY|	Rank:49	|Wins:0|Loses:2
|SHINODA|	Rank:50	|Wins:0|Loses:2
|DOBBY|	Rank:51	|Wins:3|Loses:9
|MEWTWO|	Rank:51	|Wins:0|Loses:1
|JONES|	Rank:51	|Wins:0|Loses:4
|MISHA|	Rank:51	|Wins:30|Loses:17
|LUXUS|	Rank:51	|Wins:12|Loses:4
|JEDGAR|	Rank:52	|Wins:0|Loses:4
|GOSPURE|	Rank:53	|Wins:3|Loses:5
|SAURON|	Rank:53	|Wins:15|Loses:4
|CASPER|	Rank:53	|Wins:0|Loses:1
|THORIN|	Rank:54	|Wins:0|Loses:0
|NINKA|	Rank:54	|Wins:0|Loses:1
|LAU|	Rank:54	|Wins:3|Loses:3
|HITMACHINE|	Rank:55	|Wins:0|Loses:4
|NATHAN|	Rank:55	|Wins:3|Loses:3
|TEMPT|	Rank:55	|Wins:4|Loses:0
|GLUTE|	Rank:55	|Wins:3|Loses:1
|ZORBA|	Rank:55	|Wins:3|Loses:6
